controller,hour,load,pv,wind,generatorPower,batteryPower,soc,fuelRemaining,unserved,criticalUnserved,curtailed
Forecast planner,185,88.0209114149714,33.77107621728543,90,0,0,95,13463.829999999914,0,0,35.750164802314046
Forecast planner,186,87.93339455614006,17.532187188878986,90,0,0,95,13463.829999999914,0,0,19.598792632738935
Forecast planner,187,89.84518082053327,9.10345625174337e-15,82.49523888963981,0,7.349941930893451,93.06312023570007,13463.829999999914,0,0,0
Forecast planner,188,91.39134229463151,0,51.61983453004364,0,39.771507764587874,82.58240769276928,13463.829999999914,0,0,0
Forecast planner,189,91.79678155857353,0,46.39955126122325,0,45.397230297350276,70.61918709253345,13463.829999999914,0,0,0
Forecast planner,190,90.79690258641853,0,67.88719661319033,0,22.9097059732282,64.58194947585298,13463.829999999914,0,0,0
Forecast planner,191,84.03622680591408,0,88.6462539084888,0,-4.610027102574719,65.67531340479619,13463.829999999914,0,0,0
Forecast planner,192,84.87313168426245,0,70.69099738412139,0,14.182134300141058,61.9379928655592,13463.829999999914,0,0,0
Forecast planner,193,86.047190923383,0,49.07025689156792,0,36.97693403181508,52.193715163031804,13463.829999999914,0,0,0
Forecast planner,194,86.05415019662232,0,50.58829159362537,0,35.465858602996946,42.84764079978616,13463.829999999914,0,0,0
Forecast planner,195,86.74957557365829,0,40.41051172216854,0,46.33906385148975,30.63622526556265,13463.829999999914,0,0,0
Forecast planner,196,85.08756881970655,0,74.02420607162739,48,-36.93663725192084,39.396517977324585,13446.789999999914,0,0,0
Forecast planner,197,83.81891865081084,0,90,18,-24.181081349189157,45.13156497851872,13437.249999999913,0,0,0
Forecast planner,198,82.71670091605318,13.89265933561903,90,0,-21.175958419565845,50.153884496732296,13437.249999999913,0,0,0
Forecast planner,199,88.15364952672195,27.95945853947863,90,0,-29.805809012756683,57.22295279555373,13437.249999999913,0,0,0
Forecast planner,200,89.0107517685876,39.485596123735796,90,0,-40.47484435514821,66.82240500328453,13437.249999999913,0,0,0
Forecast planner,201,90.21974438473245,47.93314010402194,90,0,-47.71339571928948,78.13863040632573,13437.249999999913,0,0,0
Forecast planner,202,89.84220897002331,56.55701308091999,90,0,-56.714804110896694,91.58972725937932,13437.249999999913,0,0,0
Forecast planner,203,90.60810284607223,60.10122012456561,90,0,-14.37897240366131,95,13437.249999999913,0,0,45.114144874832064
Forecast planner,204,90.01343503553463,63.60124421629307,90,0,0,95,13437.249999999913,0,0,63.587809180758455
Forecast planner,205,91.0508045643776,60.24562781364239,88.84391338158325,0,0,95,13437.249999999913,0,0,58.03873663084805
Forecast planner,206,90.72040770367767,56.856689210865426,90,0,0,95,13437.249999999913,0,0,56.13628150718776
Forecast planner,207,91.70944572410014,47.934207774074544,74.37069974797005,0,0,95,13437.249999999913,0,0,30.595461797944466
Forecast planner,208,90.46852299214342,40.378747701054984,90,0,0,95,13437.249999999913,0,0,39.91022470891156
Forecast planner,209,90.29497831374015,28.542059531407897,90,0,0,95,13437.249999999913,0,0,28.247081217667755
Forecast planner,210,89.05310440750438,15.454825750978486,90,0,0,95,13437.249999999913,0,0,16.401721343474108
Forecast planner,211,89.309499980515,8.520781208471873e-15,90,0,0,95,13437.249999999913,0,0,0.6905000194850146
Forecast planner,212,90.06702573988221,0,90,0,0.06702573988221161,94.98233716667619,13437.249999999913,0,0,0
Forecast planner,213,88.9741771816644,0,90,0,-0.074473044313555,95,13437.249999999913,0,0,0.9513497740220431
Forecast planner,214,90.40127007625938,0,90,0,0.4012700762593795,94.89425605017924,13437.249999999913,0,0,0
Forecast planner,215,85.1175459322242,0,90,0,-0.4458556402882193,95,13437.249999999913,0,0,4.436598427487577
Forecast planner,216,84.56153063975265,0,90,0,0,95,13437.249999999913,0,0,5.438469360247353
Forecast planner,217,84.34349342295206,0,90,0,0,95,13437.249999999913,0,0,5.656506577047935
Forecast planner,218,85.56294111447329,0,79.2326519047385,0,6.3302892097347865,93.33182232080424,13437.249999999913,0,0,0
Forecast planner,219,85.83598380204693,0,72.22502979161771,0,13.61095401042921,89.74502100407427,13437.249999999913,0,0,0
Forecast planner,220,86.45495780173206,0,58.40482012511694,0,28.050137676615122,82.353160692457,13437.249999999913,0,0,0
Forecast planner,221,86.1830920100139,0,63.26092350331918,0,22.922168506694717,76.31263890984567,13437.249999999913,0,0,0
Forecast planner,222,85.14845150157392,15.834103162996422,86.4857690747968,0,-17.171420736219318,80.38519892390805,13437.249999999913,0,0,0
Forecast planner,223,92.63752885066597,29.350723521617773,52.70186043962678,0,10.584944889421422,77.59582102741382,13437.249999999913,0,0,0
Forecast planner,224,91.2987048927333,44.67332965410826,80.43204397226229,0,-33.80666873363725,85.61377652499587,13437.249999999913,0,0,0
Forecast planner,225,89.8550695629751,59.50084597386367,90,0,-39.57579307780477,95,13437.249999999913,0,0,20.069983333083805
Forecast planner,226,91.09904844806104,66.04617052211051,82.70048830384246,0,0,95,13437.249999999913,0,0,57.64761037789194
Forecast planner,227,89.87262773045612,75.28775630193222,90,0,0,95,13437.249999999913,0,0,75.41512857147612
Forecast planner,228,90.98371021062763,74.73657160240988,82.45103455430994,0,0,95,13437.249999999913,0,0,66.20389594609219
Forecast planner,229,92.63169806216041,68.83299216015249,46.58327110890362,0,0,95,13437.249999999913,0,0,22.784565206895692
Forecast planner,230,90.95032485063979,68.1973399799321,79.77545171769528,0,0,95,13437.249999999913,0,0,57.022466846987584
Forecast planner,231,90.80243972966596,59.89678141356567,81.52568251088643,0,0,95,13437.249999999913,0,0,50.62002419478614
Forecast planner,232,89.69677636147054,50.06019385817275,90,0,0,95,13437.249999999913,0,0,50.3634174967022
Forecast planner,233,89.46874978565137,35.3906319570912,90,0,0,95,13437.249999999913,0,0,35.92188217143983
Forecast planner,234,88.94986810612937,18.62860011606376,90,0,0,95,13437.249999999913,0,0,19.678732009934393
Forecast planner,235,89.47354200501852,1.0147476686493295e-14,90,0,0,95,13437.249999999913,0,0,0.5264579949814987
Forecast planner,236,90.61512498825718,0,75.47358911516575,0,15.141535873091428,91.00985494732373,13437.249999999913,0,0,0
Forecast planner,237,92.27592582262713,0,41.18932983201859,0,51.08659599060854,77.54735484439466,13437.249999999913,0,0,0
Forecast planner,238,91.75914986693004,0,48.08678970950675,0,43.67236015742329,66.03867743667405,13437.249999999913,0,0,0
Forecast planner,239,86.03436730901689,0,41.786823726398765,0,44.24754358261812,54.37842588762072,13437.249999999913,0,0,0
Forecast planner,240,87.49816607041075,0,21.495561169134717,0,66.00260490127603,36.98521230493529,13437.249999999913,0,0,0
Forecast planner,241,88.59478929174888,0,11.405684951038308,60,17.18910434071057,32.45548558369092,13417.209999999912,0,0,0
Forecast planner,242,88.5776274122125,0,10.791398347996024,60,17.78622906421647,27.768402681323483,13397.169999999911,0,0,0
Forecast planner,243,87.18844959473583,0,21.265573502334206,60,5.922876092401623,26.207587785411228,13377.12999999991,0,0,0
Forecast planner,244,87.30463576340551,0,19.010607628466214,60,8.294028134939296,24.021919461750684,13357.08999999991,0,0,0
Forecast planner,245,86.42803441220448,0,27.071740425136483,55,4.356293987068,22.87393519871477,13338.299999999908,0,0,0
Forecast planner,246,86.15827866775513,17.561604947640177,28.907475931305527,48,-8.310802211190577,24.845015011504213,13321.259999999907,0,0,0
Forecast planner,247,91.9796845476991,34.61328988118833,29.638903144624248,0,27.72749152188652,17.538179427156724,13321.259999999907,0,0,0
Forecast planner,248,92.12662081958351,49.66489093917567,26.377609025617065,0,9.631713719996018,15,13321.259999999907,6.4524071347947505,0,0
Forecast planner,249,91.37175663333593,64.30773456226727,34.47144795910393,0,-7.407425888035263,16.75682530538151,13321.259999999907,0,0,0
Forecast planner,250,92.07076174246515,72.49806269751953,24.214454079625447,0,-4.641755034679818,17.857714174142167,13321.259999999907,0,0,0
Forecast planner,251,90.37835487350722,83.80465647441098,45.95699712450868,0,-39.38329872541243,27.198283604875385,13321.259999999907,0,0,0
Forecast planner,252,91.22588486085422,83.71601852065496,31.39266375184092,0,-23.88279741164166,32.862586358662504,13321.259999999907,0,0,0
Forecast planner,253,92.63258015873514,77.74245980908688,15.278404222126253,0,-0.38828387247799867,32.95467596484307,13321.259999999907,0,0,0
Forecast planner,254,92.78965456510377,71.69457919889301,13.095382546586665,0,7.9996928196241015,30.846571807200846,13321.259999999907,0,0,0
Forecast planner,255,93.9928407518464,59.55936800345774,5.57456553528526,0,28.858907213103393,23.241582009128432,13321.259999999907,0,0,0
Forecast planner,256,94.89473243601569,45.94439334454605,2.308219070319559,0,31.274604806294963,15,13321.259999999907,15.367515214855114,0,0
Forecast planner,257,93.02883657932477,34.61313141369571,9.07958770692683,40,0,15,13306.219999999907,9.336117458702233,0,0
Forecast planner,258,91.37877911191669,18.96557631548615,20.937658252163388,60,-8.524455455732848,17.021752128957335,13286.179999999906,0,0,0
Forecast planner,259,91.29800119494158,1.050917573276302e-14,20.503323165619555,60,7.672009910159568,15,13266.139999999905,3.122668119162446,0,0
Forecast planner,260,90.78336387402075,0,24.611385870131205,60,0,15,13246.099999999904,6.171978003889549,0,0
Forecast planner,261,92.17106964794206,0,11.31811802248335,125,-44.1470483745413,25.470391862788848,13204.349999999904,0,0,0
Forecast planner,262,92.02712572956527,0,11.468235071908486,125,-44.44110934234321,36.01052640776827,13162.599999999904,0,0,0
Forecast planner,263,86.99504838392926,0,5.612004481039739,48,33.38304390288952,27.213321910890954,13145.559999999903,0,0,0
Forecast planner,264,85.8010156958832,0,11.384394047954805,60,14.416621647928395,23.414208529862304,13125.519999999902,0,0,0
Forecast planner,265,86.86923767550374,0,5.168058960393795,100,-18.298821284890053,27.754155061608916,13090.019999999902,0,0,0
Forecast planner,266,87.47453296669474,0,2.817982333217447,100,-15.343449366522705,31.39317359873487,13054.519999999902,0,0,0
Forecast planner,267,86.80976718554923,0,4.532441113938994,60,22.277326071610233,25.522582718356567,13034.479999999901,0,0,0
Forecast planner,268,87.65730378916192,0,1.8786600236581417,60,25.778643765503773,18.72931361093228,13014.4399999999,0,0,0
Forecast planner,269,86.5333054418362,0,4.742790071075548,60,14.151750143535624,15,12994.3999999999,7.638765227225035,0,0
Forecast planner,270,86.22913288016565,19.235669292405966,5.5197457679327515,100,-38.52628218017307,24.13731011007783,12958.8999999999,0,0,0
Forecast planner,271,91.03871675517976,39.33250521403967,11.314634279402966,125,-84.60842273826287,44.20395949162466,12917.1499999999,0,0,0
Forecast planner,272,91.18955960980915,56.42263400315912,9.726975110174939,0,25.0399504964751,37.605353152730885,12917.1499999999,0,0,0
Forecast planner,273,91.7304005292626,69.62433658843207,6.375586241139688,0,15.730477699690837,33.460008301605114,12917.1499999999,0,0,0
Forecast planner,274,93.16367682486376,76.27277225511864,1.6563386463854426,0,15.234565923359682,29.445347678121546,12917.1499999999,0,0,0
Forecast planner,275,93.53448940143875,81.64323754772319,0.9420995929858956,0,10.949152260729662,26.559992712130924,12917.1499999999,0,0,0
Forecast planner,276,92.88017461736104,86.22414998759551,1.8578769691340635,0,4.798147660631457,25.295569782347254,12917.1499999999,0,0,0
Forecast planner,277,92.26444508696981,68.57591071063634,3.1311432560586425,32,-11.44260887972517,28.0094227649272,12904.109999999899,0,0,0
Forecast planner,278,91.39626412957807,65.73831839452184,5.921038661412286,60,-40.26309292635605,37.55865371169964,12884.069999999898,0,0,0
Forecast planner,279,92.1913899631057,55.64455297626203,2.900605499226287,45,-11.3537685123826,40.25143635110694,12867.779999999897,0,0,0
Forecast planner,280,90.81139448670837,46.879029341833146,8.006338570659848,60,-24.07397342578463,45.961080477795385,12847.739999999896,0,0,0
Forecast planner,281,91.62015367976157,31.824721127082686,4.212562155509617,60,-4.417129602830741,47.00869474767789,12827.699999999895,0,0,0
Forecast planner,282,90.94520864027751,16.799913605973433,6.678853485117944,60,7.466441549186129,45.0411146383492,12807.659999999894,0,0,0
Forecast planner,283,90.63218694851136,9.390778433523264e-15,7.9310348239042385,60,22.70115212460712,39.05883578637178,12787.619999999893,0,0,0
Forecast planner,284,90.6556873460379,0,7.521367031669081,60,23.134320314368807,32.96240709359611,12767.579999999893,0,0,0
Forecast planner,285,90.68099497142447,0,7.138647317541811,60,23.542347653882658,26.75845375578023,12747.539999999892,0,0,0
Forecast planner,286,89.28577718023342,0,15.96000727934332,60,13.325769900890108,23.246805050602816,12727.49999999989,0,0,0
Forecast planner,287,82.5253773383382,0,22.739491141812596,60,-0.21411380347439035,23.29758659791237,12707.45999999989,0,0,0
Forecast planner,288,92.09890853887313,0,0,93,-0.9010914611268674,23.511299202709118,12673.70999999989,0,0,0
Forecast planner,289,91.95762093305392,0,0,94,-2.042379066946083,23.995691929984055,12639.70999999989,0,0,0
Forecast planner,290,92.22856634076167,0,0,94,-1.7714336592383262,24.41582431151503,12605.70999999989,0,0,0
Forecast planner,291,94.03269657033593,0,0,95,-0.9673034296640708,24.645240463482352,12571.45999999989,0,0,0
Forecast planner,292,95.25647565679706,0,0,96,-0.7435243432029353,24.821582745005003,12536.95999999989,0,0,0
Forecast planner,293,95.13102299593578,0,0,95,0.13102299593577982,24.78705515392033,12502.70999999989,0,0,0
Forecast planner,294,95.35349416483153,0,0,97,-1.646505835168469,25.17755830041209,12467.95999999989,0,0,0
Forecast planner,295,100.99356115143539,0,0,100,0.9935611514353866,24.915731947645817,12432.45999999989,0,0,0
Forecast planner,296,102.06486903576356,0,0,105,-2.9351309642364356,25.61185937848632,12395.70999999989,0,0,0
Forecast planner,297,100.63607150342652,0,0,100,0.6360715034265212,25.444239819690033,12360.20999999989,0,0,0
Forecast planner,298,101.10215498937356,0,0,103,-1.8978450106264404,25.89435328565749,12323.95999999989,0,0,0
Forecast planner,299,99.64159648192698,0,0,101,-1.3584035180730183,26.21652696805972,12288.20999999989,0,0,0
Forecast planner,300,100.71922252313236,0,0,125,-24.28077747686764,31.975218982056074,12246.45999999989,0,0,0
Forecast planner,301,100.91348044742696,0,0,125,-24.086519552573037,37.68783868397937,12204.70999999989,0,0,0
Forecast planner,302,100.36054930681011,0,0,125,-24.639450693189886,43.53159752042147,12162.95999999989,0,0,0
Forecast planner,303,99.06436751642983,0,0,100,-0.9356324835701741,43.75350224799061,12127.45999999989,0,0,0
Forecast planner,304,98.5304816557352,0,0,60,38.5304816557352,33.599828800035695,12107.41999999989,0,0,0
Forecast planner,305,98.82795463378451,0,0,60,38.827954633784515,23.367764339331686,12087.379999999888,0,0,0
Forecast planner,306,98.85588759351947,0,0,125,-26.14411240648053,29.568385034927513,12045.629999999888,0,0,0
Forecast planner,307,99.44804374310895,0,0,125,-25.551956256891046,35.628563568284974,12003.879999999888,0,0,0
Forecast planner,308,100.12831507549879,0,0,125,-24.87168492450121,41.52740158884724,11962.129999999888,0,0,0
Forecast planner,309,98.69479318179495,0,0,99,-0.30520681820505047,41.59978774156781,11926.879999999888,0,0,0
Forecast planner,310,98.21270341800277,0,0,60,38.212703418002775,31.52985621211864,11906.839999999887,0,0,0
Forecast planner,311,91.14285102963466,0,0,60,31.142851029634656,23.322994371704848,11886.799999999886,0,0,0
Forecast planner,312,91.96645865662626,0,0,125,-33.03354134337374,31.157586608684802,11845.049999999886,0,0,0
Forecast planner,313,91.09582255191526,0,0,125,-33.90417744808474,39.19866832846952,11803.299999999886,0,0,0
Forecast planner,314,90.71932814320797,0,0,60,30.719328143207974,31.103414568248827,11783.259999999886,0,0,0
Forecast planner,315,90.99767095771438,0,0,60,30.997670957714377,22.934811036012967,11763.219999999885,0,0,0
Forecast planner,316,90.25846168242484,0,0,60,30.11049081220958,15,11743.179999999884,0.14797087021525712,0,0
Forecast planner,317,90.67669187243925,0,0,88,0,15,11710.679999999884,2.6766918724392497,0,0
Forecast planner,318,89.42795815891621,0,0,87,0,15,11678.429999999884,2.427958158916212,0,0
Forecast planner,319,96.34401345889756,0,0,125,-28.655986541102436,21.796363955176048,11636.679999999884,0,0,0
Forecast planner,320,98.38857997463636,0,0,100,-1.6114200253636426,22.178545771227704,11601.179999999884,0,0,0
Forecast planner,321,97.77201102921406,0,0,94,3.772011029214056,21.184533586928342,11567.179999999884,0,0,0
Forecast planner,322,96.80421911319681,0,0,93,3.804219113196808,20.18203382725769,11533.429999999884,0,0,0
Forecast planner,323,97.52766398251984,0,0,93,4.52766398251984,18.988889605201734,11499.679999999884,0,0,0
Forecast planner,324,99.196282162019,0,0,125,-25.803717837980997,25.1087786403269,11457.929999999884,0,0,0
Forecast planner,325,97.76872734988967,0,0,125,-27.231272650110327,31.567242027281754,11416.179999999884,0,0,0
Forecast planner,326,96.74100428855462,0,0,125,-28.25899571144538,38.26945134006409,11374.429999999884,0,0,0
Forecast planner,327,98.55063631562592,0,0,60,38.55063631562592,28.110466672882445,11354.389999999883,0,0,0
Forecast planner,328,98.08418179562196,0,0,60,38.08418179562196,18.07440356470856,11334.349999999882,0,0,0
Forecast planner,329,98.06481071437008,0,0,60,11.666541253223896,15,11314.309999999881,26.398269461146185,0,0
Forecast planner,330,98.76834403501888,0,0,125,-26.231655964981115,21.22138347354618,11272.559999999881,0,0,0
Forecast planner,331,97.92706362723612,0,0,125,-27.072936372763877,27.64229411505251,11230.809999999881,0,0,0
Forecast planner,332,96.72910995881976,0,0,125,-28.270890041180238,34.347324415825085,11189.059999999881,0,0,0
Forecast planner,333,97.27936756582443,0,0,125,-27.72063243417557,40.92184966625001,11147.309999999881,0,0,0
Forecast planner,334,96.08992695495704,0,0,48,48.089926954957036,28.249041192184194,11130.26999999988,0,0,0
Forecast planner,335,88.8788449329744,0,0,60,28.878844932974403,20.638797343599883,11110.22999999988,0,0,0
Forecast planner,336,90.73803263506669,0,0,125,-34.26196736493331,28.764736392965883,11068.47999999988,0,0,0
Forecast planner,337,90.46453993711313,0,0,100,-9.53546006288687,31.026269318188003,11032.97999999988,0,0,0
Forecast planner,338,90.9294293972377,0,0,125,-34.0705706027623,39.10681463966086,10991.22999999988,0,0,0
Forecast planner,339,90.55894819276565,0,0,60,30.558948192765655,31.05382470730872,10971.189999999879,0,0,0
Forecast planner,340,89.66511723780441,0,0,60,29.66511723780441,23.23637991335999,10951.149999999878,0,0,0
Forecast planner,341,91.80041248921955,0,0,60,31.25486424081344,15,10931.109999999877,0.5455482484061136,0,0
Forecast planner,342,91.80381989697626,0,0,92,-0.19618010302373534,15.046528196787111,10897.609999999877,0,0,0
Forecast planner,343,96.82100816573734,0,0,98,-1.1789918342626606,15.326150662212843,10862.609999999877,0,0,0
Forecast planner,344,95.54892894252099,0,0,96,-0.45107105747901244,15.433131556828924,10828.109999999877,0,0,0
Forecast planner,345,96.67605421029883,0,0,100,-3.3239457897011704,16.22147452040763,10792.609999999877,0,0,0
Forecast planner,346,96.83285686955075,0,0,98,-1.1671431304492472,16.498286818980528,10757.609999999877,0,0,0
Forecast planner,347,97.9044866277066,0,0,100,-2.0955133722933965,16.995281453264592,10722.109999999877,0,0,0
Forecast planner,348,98.2177443791831,0,0,100,-1.7822556208168976,17.417980488346004,10686.609999999877,0,0,0
Forecast planner,349,98.013424449019,0,0,100,-1.9865755509810015,17.8891382497288,10651.109999999877,0,0,0
Forecast planner,350,96.93845198195976,0,0,100,-3.0615480180402415,18.615248117452406,10615.609999999877,0,0,0
Forecast planner,351,98.63641205254399,0,0,100,-1.3635879474560113,18.93865139524603,10580.109999999877,0,0,0
Forecast planner,352,97.99636859568292,0,0,100,-2.003631404317076,19.413854307427307,10544.609999999877,0,0,0
Forecast planner,353,98.37649669458074,0,0,100,-1.6235033054192627,19.798901924972572,10509.109999999877,0,0,0
Forecast planner,354,99.40798638634604,0,0,100,-0.5920136136539611,19.939310281845582,10473.609999999877,0,0,0
Forecast planner,355,98.33403684999632,0,0,100,-1.6659631500036767,20.33442813573961,10438.109999999877,0,0,0
Forecast planner,356,99.73330121630923,0,0,100,-0.2666987836907708,20.397681306164067,10402.609999999877,0,0,0
Forecast planner,357,101.30156192109405,0,0,100,1.3015619210940486,20.054689623963938,10367.109999999877,0,0,0
Forecast planner,358,102.27865570032876,0,0,100,2.2786557003287555,19.454211122600192,10331.609999999877,0,0,0
Forecast planner,359,96.09863706136579,0,0,97,-0.9013629386342075,19.667988113941192,10296.859999999877,0,0,0
Forecast planner,360,97.47883528573814,0,0,99,-1.5211647142618574,20.028764003442195,10261.609999999877,0,0,0
